order_id,customer_id,product_id,product_name,category,region,order_date,quantity,unit_price,discount_pct,total_amount,cost,profit,payment_method,status
ORD00027,CUST0277,PROD047,Machine Learning A-Z,Books,Central,2024-10-26,1,68.97,15.0,58.63,20,38.63,PayPal,Shipped
ORD00028,CUST0247,PROD016,Leather Belt,Clothing,North,2023-07-31,4,43.93,20.0,140.58,72,68.58,Credit Card,Delivered
ORD00029,CUST0080,PROD013,Casual Sneakers,Clothing,North,2024-12-28,2,88.09,5.0,167.37,80,87.37,Cash,Delivered
ORD00030,CUST0325,PROD067,Steering Wheel Cover,Automotive,Central,2022-10-23,3,30.03,20.0,72.07,33,39.07,PayPal,Returned
ORD00031,CUST0425,PROD031,Yoga Mat Premium,Sports,South,2022-01-23,5,48.37,0.0,241.86,90,151.86,Credit Card,Delivered
ORD00032,CUST0238,PROD051,Premium Coffee Beans 1kg,Food & Beverage,Central,2024-03-18,5,32.3,0.0,161.52,50,111.52,PayPal,Delivered
ORD00033,CUST0464,PROD029,Throw Blanket Soft,Home & Garden,West,2023-12-06,2,54.04,15.0,91.87,40,51.87,Cash,Delivered
ORD00034,CUST0214,PROD020,Knit Sweater,Clothing,South,2023-01-12,2,76.75,0.0,153.51,60,93.51,Debit Card,Delivered
ORD00035,CUST0316,PROD047,Machine Learning A-Z,Books,Central,2022-04-22,5,71.44,10.0,321.49,100,221.49,Credit Card,Delivered
ORD00036,CUST0433,PROD031,Yoga Mat Premium,Sports,East,2022-05-18,3,41.38,15.0,105.53,54,51.53,Cash,Delivered
ORD00037,CUST0246,PROD013,Casual Sneakers,Clothing,East,2023-11-09,3,87.94,15.0,224.24,120,104.24,Debit Card,Delivered
ORD00038,CUST0146,PROD037,Jump Rope Speed,Sports,West,2022-05-23,2,18.31,5.0,34.78,14,20.78,PayPal,Shipped
ORD00039,CUST0431,PROD003,Smart Watch Ultra,Electronics,South,2023-09-19,5,324.74,10.0,1461.32,700,761.32,PayPal,Processing
ORD00040,CUST0438,PROD053,Protein Powder Vanilla,Food & Beverage,North,2024-05-27,2,49.55,0.0,99.11,40,59.11,Debit Card,Shipped
ORD00041,CUST0166,PROD032,Resistance Bands Set,Sports,North,2024-06-12,3,30.97,0.0,92.92,30,62.92,PayPal,Cancelled
ORD00042,CUST0028,PROD048,SQL Mastery,Books,South,2024-08-05,4,40.81,0.0,163.25,44,119.25,Bank Transfer,Delivered
ORD00043,CUST0461,PROD022,Air Purifier Pro,Home & Garden,Central,2022-12-26,5,228.18,0.0,1140.91,550,590.91,Debit Card,Cancelled
ORD00044,CUST0483,PROD027,LED Desk Lamp,Home & Garden,East,2023-02-07,3,47.1,15.0,120.11,54,66.11,Credit Card,Shipped
ORD00045,CUST0037,PROD004,Bluetooth Speaker,Electronics,South,2022-02-08,5,91.34,20.0,365.37,175,190.37,Cash,Delivered
ORD00046,CUST0272,PROD013,Casual Sneakers,Clothing,Central,2023-03-12,1,95.98,10.0,86.38,40,46.38,Cash,Delivered
ORD00047,CUST0183,PROD010,External SSD 1TB,Electronics,North,2022-11-01,3,145.8,20.0,349.91,195,154.91,Cash,Shipped
ORD00048,CUST0324,PROD034,Cycling Helmet,Sports,West,2023-08-19,2,78.44,10.0,141.2,64,77.2,Credit Card,Delivered
ORD00049,CUST0245,PROD066,Car Vacuum Cleaner,Automotive,East,2024-10-25,1,56.79,20.0,45.43,22,23.43,Cash,Shipped
ORD00050,CUST0048,PROD045,Leadership Principles,Books,West,2024-11-18,2,31.66,0.0,63.31,16,47.31,Cash,Cancelled
ORD00051,CUST0419,PROD058,Almond Milk 1L,Food & Beverage,East,2022-10-27,4,8.7,0.0,34.81,8,26.81,Debit Card,Processing
ORD00052,CUST0406,PROD055,Olive Oil Extra Virgin,Food & Beverage,North,2023-04-20,1,26.68,0.0,26.68,9,17.68,Credit Card,Shipped
ORD00053,CUST0136,PROD020,Knit Sweater,Clothing,East,2024-11-26,3,73.32,5.0,208.97,90,118.97,Credit Card,Delivered
ORD00054,CUST0189,PROD024,Electric Kettle 1.7L,Home & Garden,East,2023-10-26,1,51.0,10.0,45.9,18,27.9,PayPal,Processing
ORD00055,CUST0422,PROD055,Olive Oil Extra Virgin,Food & Beverage,North,2023-06-24,5,28.25,0.0,141.24,45,96.24,Bank Transfer,Shipped
ORD00056,CUST0443,PROD044,Marketing Strategy,Books,Central,2024-01-19,5,39.17,20.0,156.66,50,106.66,Credit Card,Delivered
ORD00057,CUST0034,PROD012,Denim Jeans Slim,Clothing,South,2024-02-10,2,79.26,0.0,158.52,56,102.52,PayPal,Delivered
ORD00058,CUST0247,PROD031,Yoga Mat Premium,Sports,North,2024-09-14,5,40.56,0.0,202.8,90,112.8,Bank Transfer,Delivered
ORD00059,CUST0081,PROD010,External SSD 1TB,Electronics,Central,2022-06-07,5,153.28,0.0,766.38,325,441.38,Debit Card,Delivered
ORD00060,CUST0359,PROD013,Casual Sneakers,Clothing,South,2024-01-12,5,99.13,0.0,495.64,200,295.64,Debit Card,Delivered
ORD00061,CUST0445,PROD028,Storage Ottoman,Home & Garden,Central,2023-11-08,1,74.72,5.0,70.99,32,38.99,Bank Transfer,Delivered
ORD00062,CUST0444,PROD051,Premium Coffee Beans 1kg,Food & Beverage,North,2022-11-27,4,28.94,0.0,115.77,40,75.77,Debit Card,Delivered
ORD00063,CUST0444,PROD041,Business Analytics Guide,Books,North,2022-11-26,2,46.17,0.0,92.33,24,68.33,Cash,Delivered
ORD00064,CUST0071,PROD017,Formal Trousers,Clothing,West,2022-12-07,3,96.52,10.0,260.6,105,155.6,Bank Transfer,Delivered
ORD00065,CUST0309,PROD014,Wool Winter Coat,Clothing,Central,2022-02-08,3,205.91,0.0,617.72,225,392.72,Bank Transfer,Shipped
ORD00066,CUST0358,PROD002,Wireless Headphones,Electronics,Central,2024-08-23,4,185.89,20.0,594.84,320,274.84,Bank Transfer,Shipped
ORD00067,CUST0472,PROD031,Yoga Mat Premium,Sports,East,2023-01-08,5,46.44,0.0,232.18,90,142.18,Debit Card,Shipped
ORD00068,CUST0437,PROD069,LED Car Lights Kit,Automotive,North,2023-12-03,4,35.68,0.0,142.7,56,86.7,Debit Card,Delivered
ORD00069,CUST0462,PROD004,Bluetooth Speaker,Electronics,North,2022-09-28,1,80.39,10.0,72.36,35,37.36,Cash,Shipped
ORD00070,CUST0408,PROD029,Throw Blanket Soft,Home & Garden,South,2022-11-03,5,50.56,5.0,240.16,100,140.16,Cash,Delivered
ORD00071,CUST0128,PROD001,Laptop Pro 15,Electronics,West,2024-12-24,5,1260.57,0.0,6302.86,3750,2552.86,Bank Transfer,Shipped
ORD00072,CUST0204,PROD017,Formal Trousers,Clothing,South,2022-01-03,4,89.39,0.0,357.57,140,217.57,Credit Card,Shipped
ORD00073,CUST0335,PROD051,Premium Coffee Beans 1kg,Food & Beverage,Central,2024-05-28,2,34.81,5.0,66.13,20,46.13,Bank Transfer,Delivered
ORD00074,CUST0045,PROD008,Webcam HD 1080p,Electronics,South,2022-07-20,4,63.95,5.0,243.0,100,143.0,Debit Card,Cancelled
ORD00075,CUST0174,PROD057,Granola Bars x12,Food & Beverage,Central,2022-06-21,3,22.43,10.0,60.57,21,39.57,Bank Transfer,Delivered
ORD00076,CUST0193,PROD010,External SSD 1TB,Electronics,Central,2022-01-12,1,151.32,0.0,151.32,65,86.32,Cash,Delivered
ORD00077,CUST0061,PROD035,Running Shoes Pro,Sports,North,2023-02-25,3,126.65,0.0,379.94,165,214.94,Debit Card,Delivered
ORD00078,CUST0342,PROD019,Running Shorts,Clothing,South,2023-06-04,3,44.98,5.0,128.2,45,83.2,Cash,Delivered
ORD00079,CUST0253,PROD001,Laptop Pro 15,Electronics,South,2023-07-19,4,1261.19,5.0,4792.53,3000,1792.53,Cash,Processing
ORD00080,CUST0358,PROD058,Almond Milk 1L,Food & Beverage,Central,2024-09-15,2,7.79,10.0,14.03,4,10.03,Bank Transfer,Delivered
ORD00081,CUST0385,PROD049,Entrepreneurship Now,Books,North,2023-09-21,5,34.88,15.0,148.24,45,103.24,Bank Transfer,Shipped
ORD00082,CUST0350,PROD003,Smart Watch Ultra,Electronics,West,2022-09-01,2,345.27,15.0,586.96,280,306.96,Debit Card,Delivered
ORD00083,CUST0293,PROD069,LED Car Lights Kit,Automotive,South,2024-11-07,4,37.0,20.0,118.41,56,62.41,Cash,Shipped
ORD00084,CUST0099,PROD019,Running Shorts,Clothing,West,2022-04-17,2,41.07,15.0,69.82,30,39.82,Credit Card,Processing
ORD00085,CUST0053,PROD056,Dark Chocolate Bar 72%,Food & Beverage,North,2022-10-25,4,13.02,5.0,49.48,16,33.48,Credit Card,Delivered
ORD00086,CUST0325,PROD025,Blender Pro 1000W,Home & Garden,Central,2023-03-31,3,81.52,0.0,244.57,105,139.57,Bank Transfer,Cancelled
ORD00087,CUST0224,PROD047,Machine Learning A-Z,Books,South,2024-03-31,5,74.25,0.0,371.24,100,271.24,Cash,Delivered
ORD00088,CUST0033,PROD005,"4K Monitor 27""",Electronics,Central,2022-12-25,4,444.51,0.0,1778.03,880,898.03,Cash,Delivered
ORD00089,CUST0487,PROD031,Yoga Mat Premium,Sports,West,2022-03-10,5,45.09,15.0,191.65,90,101.65,Debit Card,Shipped
ORD00090,CUST0112,PROD009,USB-C Hub 7-in-1,Electronics,West,2022-03-15,3,55.92,0.0,167.77,60,107.77,Debit Card,Delivered
ORD00091,CUST0309,PROD053,Protein Powder Vanilla,Food & Beverage,Central,2023-07-20,4,53.38,5.0,202.86,80,122.86,Bank Transfer,Delivered
ORD00092,CUST0474,PROD039,Pull-Up Bar,Sports,Central,2024-11-26,1,57.61,0.0,57.61,22,35.61,Credit Card,Delivered
ORD00093,CUST0149,PROD010,External SSD 1TB,Electronics,Central,2023-12-14,3,162.81,0.0,488.42,195,293.42,Debit Card,Shipped
ORD00094,CUST0142,PROD003,Smart Watch Ultra,Electronics,Central,2023-02-03,4,378.99,10.0,1364.38,560,804.38,Credit Card,Delivered
ORD00095,CUST0258,PROD043,Data Science Handbook,Books,East,2024-04-13,5,59.88,0.0,299.42,90,209.42,Cash,Delivered
ORD00096,CUST0027,PROD009,USB-C Hub 7-in-1,Electronics,North,2022-08-28,5,64.39,10.0,289.75,100,189.75,Cash,Delivered
ORD00097,CUST0467,PROD028,Storage Ottoman,Home & Garden,East,2024-06-25,4,75.95,20.0,243.03,128,115.03,Debit Card,Processing
ORD00098,CUST0462,PROD026,Plant Pot Set x3,Home & Garden,North,2024-07-28,4,42.09,20.0,134.7,56,78.7,Credit Card,Delivered
ORD00099,CUST0209,PROD066,Car Vacuum Cleaner,Automotive,North,2023-06-13,1,53.71,20.0,42.97,22,20.97,Debit Card,Shipped
ORD00100,CUST0268,PROD067,Steering Wheel Cover,Automotive,West,2023-04-16,3,28.49,0.0,85.48,33,52.48,Cash,Delivered
ORD00101,CUST0050,PROD029,Throw Blanket Soft,Home & Garden,East,2023-06-24,2,52.66,5.0,100.05,40,60.05,PayPal,Delivered
ORD00102,CUST0060,PROD036,Gym Gloves,Sports,Central,2023-01-01,4,24.07,0.0,96.28,36,60.28,Cash,Delivered
ORD00103,CUST0320,PROD017,Formal Trousers,Clothing,North,2023-01-25,4,93.22,0.0,372.88,140,232.88,Debit Card,Cancelled
ORD00104,CUST0239,PROD021,Robot Vacuum Cleaner,Home & Garden,North,2023-02-28,2,281.23,0.0,562.45,280,282.45,Cash,Delivered
ORD00105,CUST0083,PROD019,Running Shorts,Clothing,North,2022-08-07,1,45.53,15.0,38.7,15,23.7,Bank Transfer,Shipped
ORD00106,CUST0269,PROD003,Smart Watch Ultra,Electronics,South,2022-03-28,4,340.01,0.0,1360.04,560,800.04,Bank Transfer,Cancelled
ORD00107,CUST0151,PROD058,Almond Milk 1L,Food & Beverage,North,2023-07-17,4,7.49,20.0,23.98,8,15.98,Cash,Delivered
ORD00108,CUST0151,PROD053,Protein Powder Vanilla,Food & Beverage,North,2023-03-31,5,50.91,10.0,229.1,100,129.1,Bank Transfer,Delivered
ORD00109,CUST0340,PROD029,Throw Blanket Soft,Home & Garden,South,2022-03-08,5,53.32,20.0,213.28,100,113.28,Debit Card,Delivered
ORD00110,CUST0257,PROD039,Pull-Up Bar,Sports,South,2022-09-04,5,54.56,15.0,231.88,110,121.88,Credit Card,Delivered
ORD00111,CUST0485,PROD019,Running Shorts,Clothing,East,2023-03-08,4,42.68,0.0,170.72,60,110.72,PayPal,Shipped
ORD00112,CUST0244,PROD031,Yoga Mat Premium,Sports,Central,2023-06-16,2,45.44,0.0,90.87,36,54.87,PayPal,Delivered
ORD00113,CUST0425,PROD047,Machine Learning A-Z,Books,South,2023-12-04,3,67.45,5.0,192.23,60,132.23,Debit Card,Delivered
ORD00114,CUST0444,PROD010,External SSD 1TB,Electronics,North,2024-02-02,3,159.56,0.0,478.68,195,283.68,Bank Transfer,Delivered
ORD00115,CUST0398,PROD017,Formal Trousers,Clothing,North,2022-09-26,5,92.31,20.0,369.24,175,194.24,Credit Card,Shipped
ORD00116,CUST0393,PROD018,Polo Shirt Premium,Clothing,East,2023-04-28,5,64.12,5.0,304.56,110,194.56,Debit Card,Delivered
ORD00117,CUST0200,PROD011,Classic White Shirt,Clothing,East,2022-11-03,4,52.0,0.0,207.98,60,147.98,Bank Transfer,Delivered
ORD00118,CUST0384,PROD051,Premium Coffee Beans 1kg,Food & Beverage,Central,2024-11-24,5,33.41,20.0,133.65,50,83.65,Bank Transfer,Delivered
ORD00119,CUST0049,PROD044,Marketing Strategy,Books,North,2022-04-08,4,34.95,0.0,139.81,40,99.81,Credit Card,Delivered
ORD00120,CUST0198,PROD035,Running Shoes Pro,Sports,West,2023-06-05,4,137.75,0.0,550.98,220,330.98,Bank Transfer,Shipped
ORD00121,CUST0323,PROD056,Dark Chocolate Bar 72%,Food & Beverage,Central,2023-06-17,3,11.66,10.0,31.49,12,19.49,PayPal,Delivered
ORD00122,CUST0239,PROD040,Water Bottle 1L,Sports,North,2024-04-23,1,21.34,15.0,18.14,8,10.14,Cash,Delivered
ORD00123,CUST0139,PROD026,Plant Pot Set x3,Home & Garden,South,2022-12-24,3,37.87,15.0,96.57,42,54.57,Cash,Delivered
ORD00124,CUST0046,PROD009,USB-C Hub 7-in-1,Electronics,East,2024-07-04,1,57.6,0.0,57.6,20,37.6,Bank Transfer,Shipped
ORD00125,CUST0471,PROD050,Digital Marketing,Books,Central,2022-10-24,2,41.12,0.0,82.25,22,60.25,Bank Transfer,Shipped
ORD00126,CUST0476,PROD066,Car Vacuum Cleaner,Automotive,South,2024-04-08,1,50.37,0.0,50.37,22,28.37,Debit Card,Delivered
ORD00127,CUST0438,PROD010,External SSD 1TB,Electronics,North,2023-08-20,3,152.14,5.0,433.6,195,238.6,PayPal,Cancelled
ORD00128,CUST0372,PROD064,Seat Covers Set,Automotive,East,2024-01-14,5,79.33,5.0,376.82,160,216.82,Bank Transfer,Delivered
ORD00129,CUST0476,PROD028,Storage Ottoman,Home & Garden,South,2022-02-17,2,78.42,15.0,133.31,64,69.31,PayPal,Cancelled
ORD00130,CUST0412,PROD066,Car Vacuum Cleaner,Automotive,East,2022-06-13,2,51.34,0.0,102.67,44,58.67,Credit Card,Delivered
ORD00131,CUST0142,PROD043,Data Science Handbook,Books,Central,2024-08-27,5,59.2,20.0,236.8,90,146.8,Bank Transfer,Delivered
ORD00132,CUST0392,PROD057,Granola Bars x12,Food & Beverage,South,2022-06-20,1,20.95,0.0,20.95,7,13.95,Credit Card,Shipped
ORD00133,CUST0497,PROD005,"4K Monitor 27""",Electronics,North,2024-03-09,3,425.64,15.0,1085.39,660,425.39,PayPal,Delivered
ORD00134,CUST0310,PROD024,Electric Kettle 1.7L,Home & Garden,Central,2022-09-16,2,49.26,0.0,98.52,36,62.52,Credit Card,Delivered
ORD00135,CUST0416,PROD035,Running Shoes Pro,Sports,Central,2024-01-01,3,138.4,5.0,394.43,165,229.43,Cash,Cancelled
ORD00136,CUST0398,PROD064,Seat Covers Set,Automotive,North,2024-06-30,2,86.42,15.0,146.91,64,82.91,Cash,Delivered
ORD00137,CUST0092,PROD018,Polo Shirt Premium,Clothing,East,2024-07-24,5,64.15,15.0,272.66,110,162.66,Cash,Delivered
ORD00138,CUST0183,PROD021,Robot Vacuum Cleaner,Home & Garden,North,2023-12-13,4,301.37,20.0,964.39,560,404.39,Credit Card,Delivered
ORD00139,CUST0194,PROD015,Sport T-Shirt,Clothing,Central,2024-01-20,4,33.32,0.0,133.27,48,85.27,Credit Card,Delivered
ORD00140,CUST0474,PROD052,Organic Green Tea 100g,Food & Beverage,Central,2022-10-07,3,17.23,10.0,46.53,15,31.53,Credit Card,Shipped
ORD00141,CUST0159,PROD006,Gaming Mouse,Electronics,East,2024-10-04,4,75.83,20.0,242.67,112,130.67,Bank Transfer,Processing
ORD00142,CUST0340,PROD038,Foam Roller,Sports,South,2023-04-19,1,35.34,0.0,35.34,12,23.34,Bank Transfer,Cancelled
ORD00143,CUST0125,PROD058,Almond Milk 1L,Food & Beverage,West,2024-06-14,4,7.6,15.0,25.84,8,17.84,Bank Transfer,Processing
ORD00144,CUST0258,PROD015,Sport T-Shirt,Clothing,East,2023-03-28,3,32.05,15.0,81.74,36,45.74,Debit Card,Delivered
ORD00145,CUST0064,PROD049,Entrepreneurship Now,Books,West,2023-07-11,3,37.07,10.0,100.09,27,73.09,PayPal,Delivered
ORD00146,CUST0428,PROD013,Casual Sneakers,Clothing,Central,2022-05-21,2,88.1,0.0,176.19,80,96.19,Bank Transfer,Shipped
ORD00147,CUST0246,PROD001,Laptop Pro 15,Electronics,East,2023-07-12,5,1198.08,0.0,5990.4,3750,2240.4,Credit Card,Delivered
ORD00148,CUST0306,PROD036,Gym Gloves,Sports,Central,2024-12-31,1,23.43,0.0,23.43,9,14.43,PayPal,Delivered
ORD00149,CUST0178,PROD022,Air Purifier Pro,Home & Garden,East,2024-06-16,1,235.69,0.0,235.69,110,125.69,Credit Card,Delivered
ORD00150,CUST0499,PROD014,Wool Winter Coat,Clothing,Central,2023-12-02,4,181.88,20.0,582.01,300,282.01,Bank Transfer,Returned
ORD00151,CUST0254,PROD056,Dark Chocolate Bar 72%,Food & Beverage,Central,2024-08-07,1,11.59,20.0,9.27,4,5.27,Debit Card,Delivered
ORD00152,CUST0224,PROD017,Formal Trousers,Clothing,South,2024-03-14,1,89.77,0.0,89.77,35,54.77,Debit Card,Cancelled
ORD00153,CUST0265,PROD037,Jump Rope Speed,Sports,North,2023-05-28,4,20.25,0.0,80.99,28,52.99,Debit Card,Delivered
ORD00154,CUST0116,PROD063,Car Phone Mount,Automotive,West,2024-06-26,2,26.19,0.0,52.38,18,34.38,Debit Card,Delivered
ORD00155,CUST0244,PROD033,Dumbbell Set 20kg,Sports,Central,2022-07-12,5,91.95,0.0,459.77,210,249.77,Bank Transfer,Delivered
ORD00156,CUST0262,PROD069,LED Car Lights Kit,Automotive,North,2023-10-02,3,32.61,15.0,83.16,42,41.16,Credit Card,Shipped
ORD00157,CUST0110,PROD034,Cycling Helmet,Sports,West,2024-12-02,1,75.1,15.0,63.84,32,31.84,PayPal,Delivered
ORD00158,CUST0246,PROD064,Seat Covers Set,Automotive,East,2022-04-17,2,86.48,0.0,172.96,64,108.96,Bank Transfer,Delivered
ORD00159,CUST0306,PROD070,Car Wax Premium,Automotive,Central,2022-12-09,3,28.47,5.0,81.15,30,51.15,Debit Card,Delivered
ORD00160,CUST0307,PROD043,Data Science Handbook,Books,West,2022-03-28,5,68.69,5.0,326.25,90,236.25,Cash,Delivered
ORD00161,CUST0297,PROD067,Steering Wheel Cover,Automotive,East,2022-07-03,2,27.01,0.0,54.03,22,32.03,Cash,Delivered
ORD00162,CUST0495,PROD057,Granola Bars x12,Food & Beverage,West,2022-05-03,1,21.36,0.0,21.36,7,14.36,Cash,Processing
ORD00163,CUST0086,PROD005,"4K Monitor 27""",Electronics,East,2022-09-15,4,425.94,10.0,1533.39,880,653.39,PayPal,Processing
ORD00164,CUST0014,PROD027,LED Desk Lamp,Home & Garden,North,2024-06-17,2,40.69,5.0,77.32,36,41.32,PayPal,Shipped
ORD00165,CUST0435,PROD006,Gaming Mouse,Electronics,North,2023-05-29,1,78.77,5.0,74.83,28,46.83,Cash,Delivered
ORD00166,CUST0331,PROD053,Protein Powder Vanilla,Food & Beverage,East,2024-09-30,2,55.73,10.0,100.32,40,60.32,PayPal,Delivered
ORD00167,CUST0447,PROD066,Car Vacuum Cleaner,Automotive,Central,2024-08-17,3,59.04,10.0,159.42,66,93.42,Cash,Delivered
ORD00168,CUST0010,PROD030,Garden Hose 50ft,Home & Garden,South,2024-12-23,2,64.34,20.0,102.95,56,46.95,PayPal,Delivered
ORD00169,CUST0134,PROD044,Marketing Strategy,Books,Central,2024-07-18,1,40.1,10.0,36.09,10,26.09,Bank Transfer,Shipped
ORD00170,CUST0301,PROD038,Foam Roller,Sports,North,2022-02-08,5,37.5,20.0,149.99,60,89.99,Cash,Delivered
ORD00171,CUST0411,PROD002,Wireless Headphones,Electronics,Central,2022-05-10,5,211.7,0.0,1058.49,400,658.49,Cash,Shipped
ORD00172,CUST0343,PROD053,Protein Powder Vanilla,Food & Beverage,West,2022-11-12,5,52.61,5.0,249.92,100,149.92,PayPal,Delivered
ORD00173,CUST0391,PROD011,Classic White Shirt,Clothing,Central,2024-12-07,1,44.53,0.0,44.53,15,29.53,Debit Card,Cancelled
ORD00174,CUST0428,PROD031,Yoga Mat Premium,Sports,Central,2023-02-18,1,44.87,0.0,44.87,18,26.87,Credit Card,Delivered
ORD00175,CUST0362,PROD016,Leather Belt,Clothing,West,2024-03-06,4,45.23,15.0,153.79,72,81.79,Cash,Delivered
ORD00176,CUST0292,PROD022,Air Purifier Pro,Home & Garden,South,2024-01-21,2,254.28,0.0,508.55,220,288.55,Credit Card,Cancelled
ORD00177,CUST0266,PROD034,Cycling Helmet,Sports,South,2023-03-04,4,85.77,20.0,274.46,128,146.46,Credit Card,Delivered
ORD00178,CUST0208,PROD036,Gym Gloves,Sports,West,2022-05-05,3,25.29,5.0,72.08,27,45.08,PayPal,Processing
ORD00179,CUST0461,PROD022,Air Purifier Pro,Home & Garden,Central,2022-04-30,5,237.34,0.0,1186.69,550,636.69,Credit Card,Processing
ORD00180,CUST0235,PROD051,Premium Coffee Beans 1kg,Food & Beverage,North,2022-06-09,2,34.95,0.0,69.9,20,49.9,Credit Card,Shipped
ORD00181,CUST0291,PROD056,Dark Chocolate Bar 72%,Food & Beverage,West,2024-12-24,4,11.25,10.0,40.52,16,24.52,Debit Card,Delivered
ORD00182,CUST0222,PROD035,Running Shoes Pro,Sports,West,2023-01-02,5,135.43,5.0,643.29,275,368.29,Credit Card,Processing
ORD00183,CUST0258,PROD040,Water Bottle 1L,Sports,East,2024-01-04,4,22.89,5.0,86.99,32,54.99,Credit Card,Delivered
ORD00184,CUST0348,PROD038,Foam Roller,Sports,South,2023-01-05,5,34.31,0.0,171.55,60,111.55,Debit Card,Delivered
ORD00185,CUST0205,PROD028,Storage Ottoman,Home & Garden,Central,2024-06-26,3,81.04,10.0,218.8,96,122.8,PayPal,Processing
ORD00186,CUST0355,PROD052,Organic Green Tea 100g,Food & Beverage,East,2024-04-24,4,19.17,0.0,76.7,20,56.7,Cash,Delivered
ORD00187,CUST0134,PROD016,Leather Belt,Clothing,Central,2023-03-15,4,47.39,15.0,161.13,72,89.13,PayPal,Delivered
ORD00188,CUST0474,PROD010,External SSD 1TB,Electronics,Central,2024-07-15,4,162.7,0.0,650.81,260,390.81,Credit Card,Returned
ORD00189,CUST0129,PROD036,Gym Gloves,Sports,Central,2022-02-03,5,23.18,0.0,115.88,45,70.88,Credit Card,Delivered
ORD00190,CUST0113,PROD046,Finance for Managers,Books,Central,2023-03-31,2,51.41,0.0,102.83,26,76.83,PayPal,Cancelled
