product_id,product_name,category,price,cost,profit_margin,stock_quantity,supplier,rating
PROD028,Storage Ottoman,Home & Garden,75,32,57.33,206,Supplier 15,3.7
PROD029,Throw Blanket Soft,Home & Garden,55,20,63.64,408,Supplier 08,3.5
PROD030,Garden Hose 50ft,Home & Garden,65,28,56.92,201,Supplier 10,4.3
PROD031,Yoga Mat Premium,Sports,45,18,60.0,211,Supplier 04,3.6
PROD032,Resistance Bands Set,Sports,29,10,65.52,104,Supplier 16,3.7
PROD033,Dumbbell Set 20kg,Sports,89,42,52.81,387,Supplier 14,3.7
PROD034,Cycling Helmet,Sports,79,32,59.49,332,Supplier 07,3.8
PROD035,Running Shoes Pro,Sports,129,55,57.36,496,Supplier 13,3.8
PROD036,Gym Gloves,Sports,25,9,64.0,442,Supplier 07,4.6
PROD037,Jump Rope Speed,Sports,19,7,63.16,75,Supplier 14,3.6
PROD038,Foam Roller,Sports,35,12,65.71,344,Supplier 19,3.7
PROD039,Pull-Up Bar,Sports,55,22,60.0,476,Supplier 15,4.2
PROD040,Water Bottle 1L,Sports,22,8,63.64,321,Supplier 17,3.7
PROD041,Business Analytics Guide,Books,45,12,73.33,275,Supplier 01,4.3
PROD042,Python Programming,Books,55,15,72.73,44,Supplier 18,4.9
PROD043,Data Science Handbook,Books,65,18,72.31,449,Supplier 19,4.2
PROD044,Marketing Strategy,Books,38,10,73.68,280,Supplier 06,4.5
PROD045,Leadership Principles,Books,32,8,75.0,108,Supplier 05,3.7
PROD046,Finance for Managers,Books,48,13,72.92,356,Supplier 20,4.4
PROD047,Machine Learning A-Z,Books,72,20,72.22,184,Supplier 17,4.8
PROD048,SQL Mastery,Books,42,11,73.81,234,Supplier 20,4.9
PROD049,Entrepreneurship Now,Books,36,9,75.0,410,Supplier 08,3.9
PROD050,Digital Marketing,Books,40,11,72.5,195,Supplier 10,4.2
PROD051,Premium Coffee Beans 1kg,Food & Beverage,32,10,68.75,88,Supplier 05,4.1
PROD052,Organic Green Tea 100g,Food & Beverage,18,5,72.22,378,Supplier 17,3.9
PROD053,Protein Powder Vanilla,Food & Beverage,55,20,63.64,379,Supplier 18,4.8
PROD054,Mixed Nuts 500g,Food & Beverage,24,8,66.67,384,Supplier 18,4.4
PROD055,Olive Oil Extra Virgin,Food & Beverage,28,9,67.86,122,Supplier 07,4.4
PROD056,Dark Chocolate Bar 72%,Food & Beverage,12,4,66.67,168,Supplier 12,4.9
PROD057,Granola Bars x12,Food & Beverage,22,7,68.18,87,Supplier 06,4.3
PROD058,Almond Milk 1L,Food & Beverage,8,2,75.0,375,Supplier 11,4.6
PROD059,Energy Drink Pack x24,Food & Beverage,35,12,65.71,409,Supplier 12,4.3
PROD060,Collagen Powder 300g,Food & Beverage,45,16,64.44,318,Supplier 19,4.9
PROD061,Car Dash Cam 4K,Automotive,99,42,57.58,383,Supplier 14,4.5
PROD062,Tire Inflator Auto,Automotive,45,18,60.0,477,Supplier 18,3.9
PROD063,Car Phone Mount,Automotive,25,9,64.0,453,Supplier 14,4.7
PROD064,Seat Covers Set,Automotive,79,32,59.49,287,Supplier 04,3.5
PROD065,Jump Starter Pack,Automotive,89,38,57.3,94,Supplier 02,4.5
PROD066,Car Vacuum Cleaner,Automotive,55,22,60.0,122,Supplier 09,4.6
PROD067,Steering Wheel Cover,Automotive,29,11,62.07,102,Supplier 10,4.5
PROD068,Car Air Freshener x5,Automotive,15,5,66.67,94,Supplier 02,4.5
PROD069,LED Car Lights Kit,Automotive,35,14,60.0,171,Supplier 07,4.6
PROD070,Car Wax Premium,Automotive,28,10,64.29,36,Supplier 12,4.7
